Vic Morrow	English
Norman Combes	English
Peter Van Dissel	English
Stuart Parker	English
Gillian Garlick	English
Siegfried Mynhardt	English
DeWet Van Rooyen	English
Sam Williams	English
Albert Raphael	English
Michael Lovegrove	English
Michael Jameson	English
Johan Brewis	English
Gaby Getz	English
Henry Vaughn	English
Chris Bezuidenhout	English
Nimrod Motchabane	English
Nathalie Baye	French
Johnny Depp	English
Tom Kenny	English
Bill Fagerbakke	English
Carolyn Lawrence	English
Rodger Bumpass	English
Doug Lawrence	English
Davy Jones	English
Brian Doyle-Murray	English
Patrick Duffy	English
Steven Eckholdt	English
Daphne Ashbrook	English
Gabriel Olds	English
Alan Thicke	English
Sharmila Tagore	Hindi
Shashi Kapoor	Hindi
Meenakshi Seshadri	Hindi
Madhuri Dixit	Hindi
Vinod Mehra	Hindi
Raja Bundela	Hindi
Akbar Khan	Hindi
Sarika	Hindi
Mahesh Raj	Hindi
Warner Baxter	English
Marjorie Rambeau	English
Zita Johann	English
Madge Evans	English
H. B. Warner	English
Gilbert Emery	English
Barry Norton	English
Juliette Compton	English
Roger Imhof	English
Saima	Urdu
Moammar Rana	Urdu
Babar Ali	Urdu
Adrian Drake	English
William Smith	English
Robert Gallo	English
Paul G. Volk	English
Raymond Martino	English
Alex D'Andrea	English
R.J. Walker	English
Delores Nascar	English
Tim Wheeler	English
Morgan Fairchild	English
Frank Finlay	English
Paul Guilfoyle	English
Michael York	English
Bajram Severdzan	German
Srđan Todorović	Serbian language
Florijan Ajdini	German
Branka Katić	Serbian language
Ljubica Adzovic	German
Zabit Memedov	German
Sabri Sulejmani	German
Jasar Destani	German
Stojan Sotirov	German
Adnan Bekir	German
Olivia Pascal	German
Pierre Renoir	French
Michael Mosley	English
Henry Simmons	English
Mary Stuart Masterson	English
Juliette Marquis	English
John Shea	English
Scott Dacko	English
Anne Hardick	English
Jesse Steccato	English
Len Jones	English
Jim Norton	English
Del Henney	English
Donald Webster	English
Ken Hutchison	English
David Warner	English
Susan George	English
Dustin Hoffman	English
T. P. McKenna	English
Sally Thomsett	English
Peter Vaughan	English
Himani Shivpuri	Hindi
Parikshat Sahni	Hindi
Aman Yatan Verma	Hindi
Anil Dhawan	Hindi
Rajesh Khera	Hindi
Kenji Nojima	Japanese
Yukana Nogami	Japanese
Jun Fukuyama	Japanese
Rina Sato	Japanese
Rie Tanaka	Japanese
Rasheid Ali	English
Tommy Flanagan	English
Jimmy Heath	English
Wayne Shorter	English
La Monte Young	English
Alice Coltrane	English
Scott Bairstow	English
Rachel Shelley	English
Patrick Lyster	English
Patrick Shai	English
Warrick Grier	English
Andre Weideman	English
Adrienne Pierce	English
Gipsy Kiss	Italian
Lori Landi	Italian
Gino Mattera	Italian
Jacqueline Pierreux	Italian
Afro Poli	Italian
Franca Mazzoni	Italian
Germaine Del Signore	Italian
Gabriele Testas	Italian
Guido Celano	Italian
T. Germi	Italian
Tony D'Angelo	Italian
Rossana Higgins	Italian
Carlo Mazzoni	Italian
Pina Malgarini	Italian
Enrico Formichi	Italian
Paola Bertini	Italian
Aldo Silvani	Italian
Gino Del Signore	Italian
Yeong-su Oh	Korean
Kim Young-Min	Korean
Jae-kyeong Seo	Korean
Kim Ki-duk	Korean
Yeo-jin Ha	Korean
Jong-ho Kim	Korean
Jung-young Kim	Korean
Ji Dae-han	Korean
Min Choi	English
Ji-a Park	Korean
Min-Young Song	Korean
Stockard Channing	English
Jeff Conaway	English
Michael Tucci	English
Didi Conn	English
Eve Arden	English
Annette Charles	English
Frankie Avalon	English
Dinah Manoff	English
Jamie Donnelly	English
Kelly Ward	English
Joan Blondell	English
Lorenzo Lamas	English
Michael Biehn	English
Michelle Pfeiffer	English
Lorna Luft	English
Adrian Zmed	English
Maxwell Caulfield	English
John Travolta	English
John Leguizamo	English
Hayden Christensen	English
Thandie Newton	English
Jacob Latimore	English
Taylor Groothuis	English
Jordan Trovillion	English
Arthur Cartwright	English
Neal Huff	English
Hugh Maguire	English
Erin Nicole Brolley	English
Stephen Clark	English
Larry Fessenden	English
Nicholas Yu	English
Christina Benjamin	English
Catherine Deneuve	French
Michel Piccoli	French
Marcello Mastroianni	Italian
Henri Garcin	French
Julie Gayet	French
Mathieu Demy	French
Emmanuel Salinger	French
Fanny Ardant	French
Jean-Paul Belmondo	French
Romane Bohringer	French
Sandrine Bonnaire	French
Jean-Claude Brialy	French
Robert De Niro	English
Gina Lollobrigida	Italian
Jeanne Moreau	English
Leonardo DiCaprio	English
Giacomo Furia	Italian
Dante Maggio	Italian
Pierre Étaix	French
Anita Ekberg	English
Charlie Rivel	Italian
Gigi Reder	Italian
Tino Scotti	Italian
Annie Fratellini	Italian
Riccardo Billi	Italian
Fanfulla	Italian
Nino Terzo	Italian
Alvaro Vitali	Italian
Peter Brocco	English
Louis Hayward	English
Lee Bowman	English
Jane Wyatt	English
Dorothy Patrick	English
Anne Shoemaker	English
Jody Gilbert	English
Howland Chamberlain	English
Margaret Seddon	English
Sarah Padden	English
Kathleen Freeman	English
Will Wright	English
Leslie Kimmell	English
Johannes Heesters	German
Charles Vanel	French
Françoise Rosay	English
Pierre Richard-Willm	French
Marie Bell	French
Georges Pitoeff	French
Camille Bert	French
Franck Dubosc	French
Pierre Larquey	French
Lyne Clevers	French
Olga Velbria	French
Juliet Stevenson	English
Patrick Stewart	English
Kenneth Welsh	English
Sydney White UK	English
Tiffany Amber Knight	English
James Stewart	English
Joanne Dru	English
Dan Duryea	English
Harry Morgan	English
Cecilia Roth	Spanish
Carmen Maura	Spanish
Luis Hostalot	Spanish
Kiti Manver	Spanish
Chus Lampreave	Spanish
Ryo Hiruma	Spanish
Fred Astaire	English
Lucille Bremer	English
Frank Morgan	English
Mildred Natwick	English
Howard Vernon	French
Corey Sevier	English
Tom Sizemore	English
Grace Kosaka	English
Cynthia Dale	English
Arcadiy Golubovich	English
Cosette Derome	English
Faye Ly	English
Ajith Kumar	Tamil
Senthil	Tamil
Manivannan	Tamil
Goundamani	Tamil
Raasi	Tamil
Mithun Chakraborty	Hindi
Farooq Shaikh	Hindi
Prem Chopra	Hindi
Rekha Ganesan	Hindi
Rohini Hattangadi	Hindi
Padma Rani	Hindi
Sahila Chadha	Hindi
Carole Lombard	English
Alison Skipworth	English
Chester Morris	English
Cary Grant	English
Hannes Messemer	German
Mario Adorf	Italian
Werner Peters	German
Claus Holm	German
Reno	English
Denise Dowse	English
Greg Germann	English
Beth Broderick	English
Zachariah Palmer	English
J. R. Bourne	English
Ashley Rickards	English
S.D. Nemeth	English
Robert John Burke	English
Nancy Allen	English
Rip Torn	English
John Castle	English
Jill Hennessy	English
Mako	English
CCH Pounder	English
Stephen Root	English
Robert Doqui	English
Felton Perry	English
Remy Ryan	English
Daniel von Bargen	English
Mario Machado	English
Jodi Long	English
John Posey	English
Bradley Whitford	English
Bruce Locke	English
Stanley Anderson	English
Nina Proll	Spanish
Goya Toledo	Spanish
Simon Schwarz	German
Martin Feifel	German
Hary Prinz	Spanish
Sujatha	Tamil
Simran Bagga	Tamil
Prithviraj	Tamil
Venniradai Moorthy	Tamil
Kovai Sarala	Tamil
Dhamu	Tamil
Nazima	Hindi
Deb Mukherjee	Hindi
Ashok Kumar	Hindi
Nanda	Hindi
Pran Sikhand	Hindi
Raj Mehra	Hindi
Chandrima Bhaduri	Hindi
Polson	Hindi
Jill Clayburgh	English
Michael Murphy	English
Cliff Gorman	English
Patricia Quinn	English
Kelly Bishop	English
Alan Bates	English
Lisa Lucas	English
Linda Miller	English
Andrew Duncan	English
Daniel Seltzer	English
Matthew Arkin	English
Penelope Russianoff	English
Novella Nelson	English
Raymond J. Barry	English
Ivan Karp	English
John Feldmann	English
Greg Avery	English
Steven Best	English
Robin Webb	English
Jerry Vlasak	English
Keith Mann	English
Ronnie Lee	English
Chris DeRose	English
Kevin Jonas	English
Paul Watson	English
Hardy Krüger	English
Michael Goodliffe	English
Jack Gwillim	English
Alec McCowen	English
Colin Gordon	English
Terence Alexander	English
Julian Somers	English
Andrew Faulds	English
Christopher Reeve	English
Maria Schell	English
Ned Beatty	English
Gene Hackman	English
Trevor Howard	English
Terence Stamp	English
Marc McClure	English
Jackie Cooper	English
Glenn Ford	English
Margot Kidder	English
Jeff East	English
Susannah York	English
Phyllis Thaxter	English
Valerie Perrine	English
Sarah Douglas	English
Marlon Brando	English
Jack O'Halloran	English
Pier Paolo Pasolini	Italian
Lloyd Nolan	English
Elroy Hirsch	English
Joseph Crehan	English
James Millican	English
James Brown	English
Roscoe Arbuckle	English
Navya Nair	Malayalam
Kunchacko Boban	Malayalam
Jagathi Sreekumar	Malayalam
Riyaz Khan	Tamil
Basil Sydney	English
Peggy Ashcroft	English
Frank Cellier	English
Bernard Lee	English
Oscar Homolka	English
Walter Huston	English
Renee De Vaux	English
Robert Logan	English
Susan Damante-Shaw	English
Heather Rattray	English
William Bryant	English
George Buck Flower	English
David Ross Paterson	English
Grant Bowler	English
Jacqueline McKenzie	English
Rachel Ward	English
Bryan Brown	English
Armand Assante	English
Steve Bastoni	English
Kevin Copeland	English
Charlize Theron	English
Lawrence Pressman	English
Alexandra Wentworth	English
Austin Pendleton	English
Michael Richards	English
Jennifer Coolidge	English
Jeff Daniels	English
Til Schweiger	English
Julia Dietze	German
Rick Kavanian	German
Thomas Gottschalk	German
Udo Kier	English
Michael Mailer	English
Fred Weller	English
Alex Feldman	English
Damon Dash	English
Barry Primus	English
Lori Singer	English
James Toback	English
Joelle Carter	English
Mike Tyson	English
Karen Allen	English
James Parris	English
Jason Pendergraft	English
Megan Pepin	English
Brandon Sommers	English
Ashley Shelton	English
Christina Rotholz	English
Martina Stella	Italian
Cesare Cremonini	Italian
Denis Fasolo	Italian
Chiara Sani	Italian
Maria Mazza	Italian
Andrea Ascolese	Italian
Piergiorgio Fasolo	Italian
Mascia Foschi	Italian
Evelina Carmela Manna	Italian
Mauro Mercatali	Italian
Elisabetta Rocchetti	English
Sergio Romano	Italian
Carlo Simoni	Spanish
Massimo Vanni	Italian
Giulia Weber	Italian
Elke Sommer	English
Otto Sander	German
Betty Grable	English
Victor Mature	English
Josh Randall	English
Lara Phillips	English
Michael Gilio	English
Pat Healy	English
Rachel Luttrell	English
Silver Tree	English
